hotel_id,nom_hotel,type,pays,region,montant_facture,date_facture,date_echeance,date_paiement,relance_1,relance_2,statut_paiement,desactive,litige,jours_de_retard,montant_du,coeff_type,score_priorite
H0031,Ortiz-Campbell,Indépendant,France,Europe,447.2,2025-05-18,2025-06-17,2025-07-19,2025-06-22,2025-07-02,Payé,False,False,32,0.0,1.5,0.0
H0034,Fox-Gardner,Indépendant,Canada,Amérique du Nord,4332.8,2025-05-06,2025-06-05,2025-07-06,2025-06-10,2025-06-20,Payé,False,False,31,0.0,1.5,0.0
H0038,"Hayes, Villa and Lawrence",Chaîne,France,Europe,4848.08,2025-04-30,2025-05-30,,2025-06-04,2025-06-14,En retard,True,False,52,4848.08,1.0,252100.16
H0040,"Young, Lewis and Russell",Chaîne,Italie,Europe,4928.01,2025-04-25,2025-05-25,2025-07-04,2025-05-30,2025-06-09,Payé,False,False,40,0.0,1.0,0.0
H0045,Lee-Wheeler,Indépendant,Corée du Sud,Asie,687.44,2025-04-09,2025-05-09,,2025-05-14,2025-05-24,En retard,True,False,73,687.44,1.5,75274.68000000001
H0047,Armstrong-Kline,Chaîne,Espagne,Europe,1401.51,2025-05-20,2025-06-19,2025-07-20,2025-06-24,2025-07-04,Payé,False,False,31,0.0,1.0,0.0
H0051,"Sanders, Shah and King",Indépendant,Mexique,Amérique du Nord,3097.22,2025-04-02,2025-05-02,,2025-05-07,2025-05-17,En retard,True,False,80,3097.22,1.5,371666.39999999997
H0053,"Ross, Murray and Miller",Chaîne,Belgique,Europe,1434.51,2025-05-23,2025-06-22,2025-07-27,2025-06-27,2025-07-07,En retard,False,True,35,1434.51,1.0,50207.85
H0054,Stevens-Edwards,Indépendant,Thaïlande,Asie,1330.49,2025-05-16,2025-06-15,,2025-06-20,2025-06-30,En retard,True,False,36,1330.49,1.5,71846.45999999999
H0057,Johnson-Vasquez,Chaîne,Japon,Asie,468.69,2025-05-10,2025-06-09,,2025-06-14,2025-06-24,En retard,True,False,42,468.69,1.0,19684.98
H0059,Snyder-Jones,Indépendant,Espagne,Europe,4505.01,2025-04-30,2025-05-30,,2025-06-04,2025-06-14,En retard,True,False,52,4505.01,1.5,351390.78
H0061,Santos-Pennington,Chaîne,Allemagne,Europe,4418.94,2025-04-04,2025-05-04,2025-06-10,2025-05-09,2025-05-19,Payé,False,False,37,0.0,1.0,0.0
H0063,"Wright, Montes and Nguyen",Indépendant,États-Unis,Amérique du Nord,1189.93,2025-05-20,2025-06-19,,2025-06-24,2025-07-04,En retard,False,False,32,1189.93,1.5,57116.64
H0065,"White, Anderson and Garcia",Indépendant,États-Unis,Amérique du Nord,1820.62,2025-04-27,2025-05-27,2025-06-29,2025-06-01,2025-06-11,Payé,False,False,33,0.0,1.5,0.0
H0067,"Payne, Frederick and Griffin",Chaîne,Thaïlande,Asie,631.17,2025-05-18,2025-06-17,2025-07-23,2025-06-22,2025-07-02,En retard,False,False,36,631.17,1.0,22722.12
H0069,Davis PLC,Chaîne,Inde,Asie,2647.61,2025-04-24,2025-05-24,,2025-05-29,2025-06-08,En retard,True,False,58,2647.61,1.0,153561.38
H0070,Brown LLC,Chaîne,Canada,Amérique du Nord,4749.48,2025-05-06,2025-06-05,,2025-06-10,2025-06-20,En retard,False,True,46,4749.48,1.0,218476.08
H0071,"Wagner, Wagner and Harris",Indépendant,Thaïlande,Asie,3367.78,2025-06-18,2025-07-18,2025-08-21,2025-07-23,2025-08-02,En retard,False,True,34,3367.78,1.5,171756.78
H0075,"Griffith, Johnson and Aguilar",Chaîne,Mexique,Amérique du Nord,3328.37,2025-06-10,2025-07-10,2025-08-11,2025-07-15,2025-07-25,En retard,False,True,32,3328.37,1.0,106507.84
H0077,Barber-Cruz,Chaîne,Italie,Europe,2331.54,2025-04-03,2025-05-03,,2025-05-08,2025-05-18,En retard,True,False,79,2331.54,1.0,184191.66
H0078,Butler PLC,Indépendant,Inde,Asie,2058.3,2025-05-21,2025-06-20,2025-07-24,2025-06-25,2025-07-05,En retard,True,False,34,2058.3,1.5,104973.30000000002
H0079,Garcia PLC,Chaîne,Italie,Europe,961.84,2025-04-22,2025-05-22,,2025-05-27,2025-06-06,En retard,False,True,60,961.84,1.0,57710.4
H0080,Goodman-Conner,Chaîne,Corée du Sud,Asie,2336.66,2025-04-17,2025-05-17,,2025-05-22,2025-06-01,En retard,False,False,65,2336.66,1.0,151882.9
H0081,Skinner Ltd,Indépendant,Inde,Asie,4496.32,2025-04-03,2025-05-03,,2025-05-08,2025-05-18,En retard,False,False,79,4496.32,1.5,532813.9199999999
H0084,Alvarado-Neal,Chaîne,Canada,Amérique du Nord,778.03,2025-06-07,2025-07-07,2025-08-10,2025-07-12,2025-07-22,En retard,True,False,34,778.03,1.0,26453.02
H0086,Payne-Mack,Chaîne,États-Unis,Amérique du Nord,4181.17,2025-05-26,2025-06-25,2025-08-03,2025-06-30,2025-07-10,En retard,True,False,39,4181.17,1.0,163065.63
H0087,Larsen-Jennings,Indépendant,Inde,Asie,128.89,2025-05-27,2025-06-26,2025-08-03,2025-07-01,2025-07-11,En retard,False,False,38,128.89,1.5,7346.73
H0089,Hudson LLC,Indépendant,Canada,Amérique du Nord,3648.49,2025-04-30,2025-05-30,,2025-06-04,2025-06-14,En retard,True,False,52,3648.49,1.5,284582.22
H0096,Petty-Gray,Indépendant,Corée du Sud,Asie,3527.38,2025-05-09,2025-06-08,,2025-06-13,2025-06-23,En retard,True,False,43,3527.38,1.5,227516.01
H0098,Blake LLC,Indépendant,Mexique,Amérique du Nord,2043.61,2025-04-28,2025-05-28,,2025-06-02,2025-06-12,En retard,True,False,54,2043.61,1.5,165532.40999999997
H0099,Castro Ltd,Chaîne,Corée du Sud,Asie,3516.25,2025-04-18,2025-05-18,2025-06-20,2025-05-23,2025-06-02,Payé,False,False,33,0.0,1.0,0.0
H0102,Williams-Bray,Indépendant,Italie,Europe,3214.37,2025-04-09,2025-05-09,,2025-05-14,2025-05-24,En retard,True,False,73,3214.37,1.5,351973.51499999996
H0103,Reynolds PLC,Indépendant,États-Unis,Amérique du Nord,3117.97,2025-05-18,2025-06-17,,2025-06-22,2025-07-02,En retard,False,False,34,3117.97,1.5,159016.47
H0105,Smith-Mendez,Chaîne,Canada,Amérique du Nord,3777.33,2025-06-07,2025-07-07,2025-08-08,2025-07-12,2025-07-22,En retard,False,False,32,3777.33,1.0,120874.56
H0108,"Reeves, Huang and Keller",Indépendant,Allemagne,Europe,2494.03,2025-04-01,2025-05-01,,2025-05-06,2025-05-16,En retard,False,False,81,2494.03,1.5,303024.645
H0112,Franklin-West,Chaîne,France,Europe,1646.18,2025-05-20,2025-06-19,,2025-06-24,2025-07-04,En retard,True,False,32,1646.18,1.0,52677.76
H0113,Goodman Inc,Indépendant,Allemagne,Europe,1454.85,2025-04-20,2025-05-20,2025-06-27,2025-05-25,2025-06-04,Payé,False,False,38,0.0,1.5,0.0
H0116,Maldonado-Brown,Indépendant,Belgique,Europe,3517.35,2025-04-18,2025-05-18,2025-06-25,2025-05-23,2025-06-02,Payé,False,False,38,0.0,1.5,0.0
H0118,Evans Ltd,Chaîne,États-Unis,Amérique du Nord,1337.14,2025-05-08,2025-06-07,,2025-06-12,2025-06-22,En retard,True,False,44,1337.14,1.0,58834.16
H0125,Kennedy PLC,Indépendant,Mexique,Amérique du Nord,1527.17,2025-04-13,2025-05-13,2025-06-17,2025-05-18,2025-05-28,Payé,False,False,35,0.0,1.5,0.0
H0127,"Taylor, Smith and Osborne",Chaîne,États-Unis,Amérique du Nord,3273.41,2025-05-18,2025-06-17,,2025-06-22,2025-07-02,En retard,True,False,34,3273.41,1.0,111295.94
H0131,Clark Group,Indépendant,Thaïlande,Asie,226.74,2025-04-04,2025-05-04,2025-06-06,2025-05-09,2025-05-19,Payé,False,False,33,0.0,1.5,0.0
H0132,Miller Group,Indépendant,Japon,Asie,2923.61,2025-04-21,2025-05-21,,2025-05-26,2025-06-05,En retard,True,False,61,2923.61,1.5,267510.31500000006
H0135,Howell-Roberts,Chaîne,Canada,Amérique du Nord,4302.89,2025-06-16,2025-07-16,2025-08-19,2025-07-21,2025-07-31,En retard,False,False,34,4302.89,1.0,146298.26
H0139,George Inc,Indépendant,Allemagne,Europe,2791.18,2025-04-22,2025-05-22,,2025-05-27,2025-06-06,En retard,False,False,60,2791.18,1.5,251206.19999999998
H0141,Sherman Ltd,Chaîne,Inde,Asie,1201.03,2025-05-09,2025-06-08,,2025-06-13,2025-06-23,En retard,True,False,43,1201.03,1.0,51644.29
H0142,Barnett-Thomas,Chaîne,États-Unis,Amérique du Nord,2542.04,2025-04-03,2025-05-03,,2025-05-08,2025-05-18,En retard,False,False,79,2542.04,1.0,200821.16
H0144,"Peterson, Cruz and Cardenas",Chaîne,Corée du Sud,Asie,1453.61,2025-04-16,2025-05-16,,2025-05-21,2025-05-31,En retard,False,False,66,1453.61,1.0,95938.26
H0147,"Macdonald, Contreras and Hall",Indépendant,Inde,Asie,4670.98,2025-05-11,2025-06-10,,2025-06-15,2025-06-25,En retard,True,False,41,4670.98,1.5,287265.27
H0149,"Ortiz, Bartlett and Long",Indépendant,Inde,Asie,1991.79,2025-05-26,2025-06-25,2025-07-26,2025-06-30,2025-07-10,En retard,True,False,31,1991.79,1.5,92618.235
H0151,Baker Group,Indépendant,États-Unis,Amérique du Nord,175.2,2025-06-15,2025-07-15,2025-08-15,2025-07-20,2025-07-30,En retard,True,False,31,175.2,1.5,8146.799999999999
H0152,Smith-Conley,Indépendant,Italie,Europe,1758.95,2025-05-20,2025-06-19,2025-07-20,2025-06-24,2025-07-04,Payé,False,False,31,0.0,1.5,0.0
H0153,Bell LLC,Indépendant,Espagne,Europe,4775.28,2025-05-13,2025-06-12,2025-07-20,2025-06-17,2025-06-27,Payé,False,False,38,0.0,1.5,0.0
H0154,Mckenzie-Calderon,Chaîne,Mexique,Amérique du Nord,3125.55,2025-06-14,2025-07-14,2025-08-16,2025-07-19,2025-07-29,En retard,False,True,33,3125.55,1.0,103143.15000000001
H0155,Alvarez and Sons,Indépendant,Japon,Asie,4893.85,2025-04-14,2025-05-14,,2025-05-19,2025-05-29,En retard,True,False,68,4893.85,1.5,499172.70000000007
H0156,"Mora, Moore and Curtis",Indépendant,États-Unis,Amérique du Nord,4526.78,2025-04-03,2025-05-03,2025-06-12,2025-05-08,2025-05-18,Payé,False,False,40,0.0,1.5,0.0
H0158,Rodriguez LLC,Chaîne,Allemagne,Europe,3086.51,2025-04-02,2025-05-02,2025-06-04,2025-05-07,2025-05-17,Payé,False,False,33,0.0,1.0,0.0
H0160,"Russo, Miles and Walker",Chaîne,Canada,Amérique du Nord,461.92,2025-05-04,2025-06-03,,2025-06-08,2025-06-18,En retard,False,False,48,461.92,1.0,22172.16
H0163,Watkins-Cortez,Indépendant,Inde,Asie,139.68,2025-04-26,2025-05-26,,2025-05-31,2025-06-10,En retard,True,False,56,139.68,1.5,11733.119999999999
H0165,"Lowe, Gordon and Alvarez",Indépendant,Allemagne,Europe,3421.05,2025-04-02,2025-05-02,,2025-05-07,2025-05-17,En retard,True,False,80,3421.05,1.5,410526.0
H0167,"Morris, Hess and Allen",Chaîne,Mexique,Amérique du Nord,541.65,2025-04-13,2025-05-13,2025-06-19,2025-05-18,2025-05-28,Payé,False,False,37,0.0,1.0,0.0
H0170,Bradshaw Inc,Chaîne,États-Unis,Amérique du Nord,3795.34,2025-05-20,2025-06-19,2025-07-22,2025-06-24,2025-07-04,En retard,False,False,33,3795.34,1.0,125246.22
H0172,Walton LLC,Indépendant,Thaïlande,Asie,4129.84,2025-04-07,2025-05-07,,2025-05-12,2025-05-22,En retard,True,False,75,4129.84,1.5,464607.0
H0176,"Hamilton, Simpson and Mcmahon",Chaîne,Allemagne,Europe,2004.36,2025-06-16,2025-07-16,2025-08-22,2025-07-21,2025-07-31,En retard,False,True,37,2004.36,1.0,74161.31999999999
H0181,Park PLC,Chaîne,Espagne,Europe,4945.22,2025-03-26,2025-04-25,,2025-04-30,2025-05-10,En retard,True,False,87,4945.22,1.0,430234.14
H0183,Rubio-Wright,Chaîne,États-Unis,Amérique du Nord,1458.65,2025-05-07,2025-06-06,,2025-06-11,2025-06-21,En retard,True,False,45,1458.65,1.0,65639.25
H0184,Herrera Ltd,Chaîne,Thaïlande,Asie,638.64,2025-04-09,2025-05-09,,2025-05-14,2025-05-24,En retard,True,False,73,638.64,1.0,46620.72
H0189,Rodriguez PLC,Chaîne,Canada,Amérique du Nord,2502.32,2025-04-28,2025-05-28,,2025-06-02,2025-06-12,En retard,True,False,54,2502.32,1.0,135125.28
H0192,"Richards, Barber and Chapman",Chaîne,Inde,Asie,3986.17,2025-05-31,2025-06-30,2025-07-31,2025-07-05,2025-07-15,En retard,True,False,31,3986.17,1.0,123571.27
H0197,Norton-Contreras,Chaîne,Thaïlande,Asie,2112.96,2025-05-05,2025-06-04,,2025-06-09,2025-06-19,En retard,False,True,47,2112.96,1.0,99309.12
H0201,Wallace-Black,Chaîne,Thaïlande,Asie,984.04,2025-04-07,2025-05-07,,2025-05-12,2025-05-22,En retard,False,False,75,984.04,1.0,73803.0
H0205,"Patrick, Green and Andrews",Chaîne,Japon,Asie,862.34,2025-04-13,2025-05-13,,2025-05-18,2025-05-28,En retard,True,False,69,862.34,1.0,59501.46
H0210,"Davila, Scott and Young",Indépendant,Espagne,Europe,1707.8,2025-06-19,2025-07-19,2025-08-25,2025-07-24,2025-08-03,En retard,False,True,37,1707.8,1.5,94782.9
H0216,"Gonzalez, Moore and Haynes",Indépendant,Italie,Europe,3754.44,2025-05-28,2025-06-27,2025-08-05,2025-07-02,2025-07-12,En retard,True,False,39,3754.44,1.5,219634.74
H0217,"Moore, Wong and Reid",Chaîne,Belgique,Europe,2699.96,2025-04-22,2025-05-22,2025-06-30,2025-05-27,2025-06-06,Payé,False,False,39,0.0,1.0,0.0
H0220,Vasquez-Donaldson,Indépendant,Inde,Asie,3796.78,2025-04-06,2025-05-06,,2025-05-11,2025-05-21,En retard,False,False,76,3796.78,1.5,432832.92000000004
H0224,Medina Ltd,Indépendant,Inde,Asie,2943.61,2025-04-10,2025-05-10,,2025-05-15,2025-05-25,En retard,True,False,72,2943.61,1.5,317909.88
H0226,"Hanson, Smith and Tapia",Chaîne,Italie,Europe,4073.74,2025-04-20,2025-05-20,,2025-05-25,2025-06-04,En retard,True,False,62,4073.74,1.0,252571.87999999998
H0230,"Miller, Moore and Lewis",Indépendant,États-Unis,Amérique du Nord,1492.32,2025-05-19,2025-06-18,,2025-06-23,2025-07-03,En retard,True,False,33,1492.32,1.5,73869.84
H0231,"Hernandez, Adams and Anderson",Chaîne,États-Unis,Amérique du Nord,4592.06,2025-05-03,2025-06-02,2025-07-03,2025-06-07,2025-06-17,Payé,False,False,31,0.0,1.0,0.0
H0232,Mason LLC,Chaîne,Inde,Asie,3015.7,2025-05-08,2025-06-07,,2025-06-12,2025-06-22,En retard,False,False,44,3015.7,1.0,132690.8
H0233,Lynch-Brock,Chaîne,Thaïlande,Asie,3383.57,2025-04-18,2025-05-18,,2025-05-23,2025-06-02,En retard,True,False,64,3383.57,1.0,216548.48
H0236,Robinson-Riddle,Chaîne,États-Unis,Amérique du Nord,3343.45,2025-03-24,2025-04-23,,2025-04-28,2025-05-08,En retard,True,False,89,3343.45,1.0,297567.05
H0237,Weber-Nichols,Chaîne,Inde,Asie,895.01,2025-04-21,2025-05-21,,2025-05-26,2025-06-05,En retard,True,False,61,895.01,1.0,54595.61
H0240,"Thornton, Miller and Vega",Indépendant,Corée du Sud,Asie,4831.42,2025-04-28,2025-05-28,,2025-06-02,2025-06-12,En retard,True,False,54,4831.42,1.5,391345.02
H0245,"Robinson, Watts and Bowers",Indépendant,Corée du Sud,Asie,549.4,2025-04-07,2025-05-07,,2025-05-12,2025-05-22,En retard,False,False,75,549.4,1.5,61807.5
H0247,Pearson PLC,Chaîne,Espagne,Europe,238.12,2025-04-12,2025-05-12,,2025-05-17,2025-05-27,En retard,False,True,70,238.12,1.0,16668.4
H0249,"Brown, Cline and Maldonado",Indépendant,Inde,Asie,3115.21,2025-04-25,2025-05-25,,2025-05-30,2025-06-09,En retard,True,False,57,3115.21,1.5,266350.455
H0252,"Brown, Crawford and Mooney",Chaîne,Italie,Europe,3196.58,2025-05-01,2025-05-31,2025-07-05,2025-06-05,2025-06-15,Payé,False,False,35,0.0,1.0,0.0
H0258,Lam and Sons,Indépendant,Inde,Asie,3195.51,2025-05-19,2025-06-18,,2025-06-23,2025-07-03,En retard,True,False,33,3195.51,1.5,158177.745
H0260,Brown-Mcdaniel,Indépendant,Espagne,Europe,2625.38,2025-05-14,2025-06-13,,2025-06-18,2025-06-28,En retard,False,False,38,2625.38,1.5,149646.66
H0261,Summers and Sons,Indépendant,Allemagne,Europe,1849.17,2025-03-28,2025-04-27,,2025-05-02,2025-05-12,En retard,False,False,85,1849.17,1.5,235769.17500000002
H0262,Sweeney Ltd,Indépendant,Espagne,Europe,4458.48,2025-04-28,2025-05-28,,2025-06-02,2025-06-12,En retard,False,False,54,4458.48,1.5,361136.88
H0263,Perez-Lamb,Indépendant,Italie,Europe,1900.0,2025-03-25,2025-04-24,,2025-04-29,2025-05-09,En retard,False,True,88,1900.0,1.5,250800.0
H0269,Sanchez-Gates,Indépendant,Allemagne,Europe,270.51,2025-04-28,2025-05-28,2025-07-06,2025-06-02,2025-06-12,Payé,False,False,39,0.0,1.5,0.0
H0271,Nelson and Sons,Indépendant,Italie,Europe,1922.87,2025-04-30,2025-05-30,,2025-06-04,2025-06-14,En retard,True,False,52,1922.87,1.5,149983.86
H0274,Carr-Juarez,Indépendant,Canada,Amérique du Nord,1151.4,2025-06-04,2025-07-04,2025-08-07,2025-07-09,2025-07-19,En retard,False,True,34,1151.4,1.5,58721.40000000001
H0275,Smith and Sons,Chaîne,Allemagne,Europe,2315.01,2025-04-26,2025-05-26,,2025-05-31,2025-06-10,En retard,False,True,56,2315.01,1.0,129640.56000000001
H0280,"Nelson, Lopez and Boyle",Indépendant,Espagne,Europe,4998.02,2025-05-17,2025-06-16,,2025-06-21,2025-07-01,En retard,False,False,35,4998.02,1.5,262396.05000000005
H0282,Scott-Lambert,Indépendant,Mexique,Amérique du Nord,728.84,2025-04-12,2025-05-12,,2025-05-17,2025-05-27,En retard,True,False,70,728.84,1.5,76528.20000000001
H0299,"Mcmahon, Garcia and Pratt",Chaîne,Japon,Asie,2211.55,2025-04-08,2025-05-08,,2025-05-13,2025-05-23,En retard,False,False,74,2211.55,1.0,163654.7
H0302,Becker-Stevens,Indépendant,France,Europe,1928.67,2025-04-28,2025-05-28,,2025-06-02,2025-06-12,En retard,False,True,54,1928.67,1.5,156222.27000000002
H0305,Bailey Inc,Indépendant,Mexique,Amérique du Nord,896.26,2025-04-29,2025-05-29,,2025-06-03,2025-06-13,En retard,False,False,53,896.26,1.5,71252.67
H0310,Cohen PLC,Chaîne,États-Unis,Amérique du Nord,254.7,2025-04-07,2025-05-07,,2025-05-12,2025-05-22,En retard,True,False,75,254.7,1.0,19102.5
H0311,"James, Love and Thomas",Indépendant,France,Europe,1637.09,2025-05-16,2025-06-15,2025-07-19,2025-06-20,2025-06-30,Payé,False,False,34,0.0,1.5,0.0
H0313,Jones LLC,Chaîne,Corée du Sud,Asie,2848.35,2025-04-26,2025-05-26,,2025-05-31,2025-06-10,En retard,False,False,56,2848.35,1.0,159507.6
H0316,Brown-Stark,Indépendant,États-Unis,Amérique du Nord,3878.75,2025-05-09,2025-06-08,,2025-06-13,2025-06-23,En retard,False,False,43,3878.75,1.5,250179.375
H0318,Liu Inc,Indépendant,États-Unis,Amérique du Nord,306.13,2025-05-09,2025-06-08,,2025-06-13,2025-06-23,En retard,True,False,43,306.13,1.5,19745.385000000002
H0322,Thompson-Acosta,Indépendant,Mexique,Amérique du Nord,592.67,2025-05-13,2025-06-12,,2025-06-17,2025-06-27,En retard,True,False,39,592.67,1.5,34671.19499999999
H0323,Smith PLC,Indépendant,Corée du Sud,Asie,3299.17,2025-04-22,2025-05-22,,2025-05-27,2025-06-06,En retard,False,False,60,3299.17,1.5,296925.30000000005
H0324,"White, Young and Sanford",Indépendant,Corée du Sud,Asie,1673.72,2025-05-15,2025-06-14,2025-07-23,2025-06-19,2025-06-29,En retard,True,False,39,1673.72,1.5,97912.62
H0326,Haas Ltd,Indépendant,Italie,Europe,1012.93,2025-04-04,2025-05-04,,2025-05-09,2025-05-19,En retard,False,True,78,1012.93,1.5,118512.81
H0329,Santana and Sons,Chaîne,Espagne,Europe,3682.48,2025-04-28,2025-05-28,2025-07-02,2025-06-02,2025-06-12,Payé,False,False,35,0.0,1.0,0.0
H0330,"Smith, Lambert and Freeman",Indépendant,France,Europe,3974.76,2025-04-04,2025-05-04,2025-06-11,2025-05-09,2025-05-19,Payé,False,False,38,0.0,1.5,0.0
H0337,Tapia LLC,Indépendant,Allemagne,Europe,850.61,2025-04-04,2025-05-04,,2025-05-09,2025-05-19,En retard,False,False,78,850.61,1.5,99521.37
H0341,Townsend-Fox,Chaîne,Inde,Asie,3433.45,2025-04-25,2025-05-25,,2025-05-30,2025-06-09,En retard,False,True,57,3433.45,1.0,195706.65
H0346,Estrada and Sons,Indépendant,États-Unis,Amérique du Nord,2103.45,2025-04-04,2025-05-04,,2025-05-09,2025-05-19,En retard,False,False,78,2103.45,1.5,246103.64999999997
H0347,Green-Rice,Indépendant,Canada,Amérique du Nord,1940.66,2025-05-06,2025-06-05,2025-07-07,2025-06-10,2025-06-20,Payé,False,False,32,0.0,1.5,0.0
H0348,Martinez-Nelson,Indépendant,Corée du Sud,Asie,681.3,2025-04-03,2025-05-03,,2025-05-08,2025-05-18,En retard,False,True,79,681.3,1.5,80734.04999999999
H0349,Chapman Group,Chaîne,Corée du Sud,Asie,3805.28,2025-04-14,2025-05-14,,2025-05-19,2025-05-29,En retard,False,False,68,3805.28,1.0,258759.04
H0351,Smith Ltd,Chaîne,France,Europe,4066.44,2025-04-23,2025-05-23,2025-07-01,2025-05-28,2025-06-07,Payé,False,False,39,0.0,1.0,0.0
H0355,"Brown, Perez and Middleton",Indépendant,Thaïlande,Asie,1260.83,2025-03-31,2025-04-30,,2025-05-05,2025-05-15,En retard,True,False,82,1260.83,1.5,155082.09
H0356,Bates PLC,Indépendant,Canada,Amérique du Nord,398.69,2025-03-25,2025-04-24,,2025-04-29,2025-05-09,En retard,True,False,88,398.69,1.5,52627.08
H0357,Holmes PLC,Indépendant,Inde,Asie,329.73,2025-04-26,2025-05-26,2025-06-26,2025-05-31,2025-06-10,Payé,False,False,31,0.0,1.5,0.0
H0359,Mcgee and Sons,Indépendant,États-Unis,Amérique du Nord,1280.74,2025-03-24,2025-04-23,2025-05-28,2025-04-28,2025-05-08,Payé,False,False,35,0.0,1.5,0.0
H0364,"White, Anderson and Kennedy",Indépendant,États-Unis,Amérique du Nord,1585.62,2025-04-26,2025-05-26,,2025-05-31,2025-06-10,En retard,True,False,56,1585.62,1.5,133192.08000000002
H0365,Rivas-Cantu,Indépendant,France,Europe,4580.76,2025-05-08,2025-06-07,2025-07-12,2025-06-12,2025-06-22,Payé,False,False,35,0.0,1.5,0.0
H0369,"Jackson, Sanchez and Edwards",Indépendant,Canada,Amérique du Nord,324.01,2025-03-29,2025-04-28,,2025-05-03,2025-05-13,En retard,True,False,84,324.01,1.5,40825.26
H0371,"Knox, Moore and Anderson",Chaîne,Mexique,Amérique du Nord,2546.58,2025-06-18,2025-07-18,2025-08-20,2025-07-23,2025-08-02,En retard,False,False,33,2546.58,1.0,84037.14
H0373,Nguyen Group,Indépendant,Belgique,Europe,1001.83,2025-04-09,2025-05-09,,2025-05-14,2025-05-24,En retard,True,False,73,1001.83,1.5,109700.385
H0374,"Richardson, Sanchez and Stewart",Chaîne,Japon,Asie,4731.42,2025-05-11,2025-06-10,2025-07-18,2025-06-15,2025-06-25,Payé,False,False,38,0.0,1.0,0.0
H0375,Whitney-Green,Chaîne,Italie,Europe,4228.47,2025-05-23,2025-06-22,2025-07-27,2025-06-27,2025-07-07,En retard,True,False,35,4228.47,1.0,147996.45
H0376,"Baker, Freeman and Haynes",Indépendant,Allemagne,Europe,1928.68,2025-04-13,2025-05-13,2025-06-14,2025-05-18,2025-05-28,Payé,False,False,32,0.0,1.5,0.0
H0380,Taylor PLC,Indépendant,Canada,Amérique du Nord,487.19,2025-04-20,2025-05-20,,2025-05-25,2025-06-04,En retard,False,True,62,487.19,1.5,45308.67
H0383,Martinez LLC,Chaîne,Corée du Sud,Asie,2549.31,2025-05-30,2025-06-29,2025-08-08,2025-07-04,2025-07-14,En retard,False,True,40,2549.31,1.0,101972.4
H0384,Young-James,Chaîne,Japon,Asie,1135.94,2025-04-03,2025-05-03,,2025-05-08,2025-05-18,En retard,False,False,79,1135.94,1.0,89739.26000000001
H0386,Bradley Ltd,Chaîne,Espagne,Europe,4811.2,2025-04-26,2025-05-26,2025-07-03,2025-05-31,2025-06-10,Payé,False,False,38,0.0,1.0,0.0
H0388,Smith-Perry,Indépendant,Mexique,Amérique du Nord,1980.85,2025-04-18,2025-05-18,,2025-05-23,2025-06-02,En retard,True,False,64,1980.85,1.5,190161.59999999998
H0393,Jennings-Klein,Chaîne,Japon,Asie,1413.06,2025-04-12,2025-05-12,2025-06-21,2025-05-17,2025-05-27,Payé,False,False,40,0.0,1.0,0.0
